id,label,account_age_days,followers_count,following_count,post_frequency_per_day,avg_word_count_per_post,avg_hashtags_per_post,avg_sentiment_score,reply_to_post_ratio,urls_per_post_ratio,bio_complexity_score
u5272798802418388161,1,618,273,3856,224.44,11,5,-0.99,0.91,0.81,0.69
u4593818579113302616,0,1655,274,0,5.84,27,0,0.61,0.29,0.33,1.21
u9380500167756234426,0,3100,4149,0,3.79,22,1,-0.11,0.73,0.33,0.65
u1486679646281563909,1,641,270,3270,65.74,39,10,0.86,1.52,0.81,0.53
u8766846245146591166,0,1740,2529,435,9.87,10,0,0.37,0.95,0.45,0.86
u3597590058361948325,0,1710,2119,714,7.26,28,2,-0.41,0.58,0.23,0.72
u7941563197772488996,1,21,11586,997,178.41,7,0,0.17,0.76,0.71,0.24
u5041591111347358747,0,2854,0,1838,8.57,22,2,0.92,0.68,0.4,0.99
u3130884516332323930,1,160,0,4043,122.69,35,3,-0.19,0.98,0.94,0.52
u4086636508859028297,1,1265,15937,6239,198.51,39,7,0.05,1.47,0.58,0.26
u3784889311267401286,0,2429,4491,632,12.49,8,0,0.89,0.29,0.13,0.78
u4069181448854990259,1,1528,25159,3630,189.55,13,4,0.57,1.49,0.7,0.58
u5913202033190391120,0,1941,0,95,10.63,23,1,-0.32,0.36,0.35,0.58
u1070338872939570719,0,0,652,820,2.24,12,2,0.8,0.53,0.46,0.32
u4808934926871066295,0,803,1803,644,4.83,22,1,0.92,0.49,0.12,0.62
u9297404535212884028,1,555,141,334,36.63,26,5,-0.58,0.46,0.85,0.07
u8243474167060509946,0,2477,2742,0,5.24,14,2,0.09,0.26,0.42,0.64
u4546360904317527477,0,2288,5571,2111,5.76,11,0,1.58,0.39,0.34,0.61
u3180453220313783010,1,2070,22392,2002,170.26,8,4,-0.63,0.69,0.68,0.38
u6000997321739906038,1,578,0,3221,115.44,7,7,-0.75,0.63,0.87,0.75
u1229267323317166298,1,0,11936,6495,143.9,42,0,-1.6,1.31,0.93,0.25
u7120132842917840290,0,2477,2361,2244,3.05,13,0,-0.57,1.08,0.1,0.71
u9458441319076373781,1,254,26,3638,178.99,43,0,-1.17,1.07,0.87,0.64
u2401815088772335192,1,554,26309,3382,0.0,8,3,0.58,1.31,0.62,0.43
u3262666648308457633,1,501,41,10580,0.0,6,6,-0.73,1.01,0.61,0.03
u9618085777478996509,0,1616,1464,577,2.24,22,1,0.08,0.61,0.15,0.74
u6970540406317266657,1,475,290,4912,162.58,11,1,0.08,1.03,0.38,0.54
